Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,LeftShoulder,RightUpperArm,RightForeArm,RightHand,RightShoulder,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(-0.00714, 0.06298, -0.00600, 0.99543)","(-0.05130, 0.00711, -0.07086, 0.99360)","(-0.32708, 0.05195, -0.01149, 0.94350)","(-0.12377, 0.65343, -0.29108, 0.68266)","(0.29157, -0.76695, 0.30598, -0.47639)","(0.54831, -0.78230, -0.20295, -0.20017)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.01535, -0.62482, -0.32643, 0.70432)","(-0.40894, -0.83362, -0.10497, 0.34794)","(-0.44939, -0.75521, -0.43017, 0.19065)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.00657, 0.05330, -0.03653, 0.99535)","(0.00479, 0.09851, -0.04323, 0.99163)","(0.00434, 0.10203, -0.03034, 0.99176)","(0.00970, 0.06128, 0.01399, 0.99544)","(-0.00541, 0.03480, 0.01335, 0.99676)","(0.00751, -0.00507, -0.03131, 0.99694)",
"(-0.00667, 0.06327, -0.00563, 0.99542)","(-0.05065, 0.00673, -0.07037, 0.99367)","(-0.32765, 0.05437, -0.01099, 0.94317)","(-0.12344, 0.65331, -0.29056, 0.68305)","(0.29115, -0.76649, 0.30635, -0.47713)","(0.54909, -0.78191, -0.20402, -0.19843)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.01612, -0.62514, -0.32586, 0.70428)","(-0.40849, -0.83399, -0.10427, 0.34778)","(-0.44942, -0.75485, -0.42932, 0.19391)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.00693, 0.05392, -0.03601, 0.99533)","(0.00448, 0.09916, -0.04324, 0.99157)","(0.00411, 0.10219, -0.03038, 0.99174)","(0.00931, 0.06114, 0.01405, 0.99545)","(-0.00569, 0.03464, 0.01387, 0.99676)","(0.00745, -0.00518, -0.03146, 0.99693)",
"(-0.00624, 0.06332, -0.00528, 0.99542)","(-0.04998, 0.00627, -0.07005, 0.99373)","(-0.32857, 0.05478, -0.01006, 0.94284)","(-0.12356, 0.65306, -0.29059, 0.68327)","(0.29093, -0.76628, 0.30647, -0.47753)","(0.54906, -0.78185, -0.20434, -0.19847)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.01598, -0.62515, -0.32606, 0.70418)","(-0.40811, -0.83430, -0.10432, 0.34747)","(-0.44932, -0.75452, -0.42936, 0.19536)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.00721, 0.05466, -0.03544, 0.99531)","(0.00428, 0.09985, -0.04333, 0.99150)","(0.00393, 0.10229, -0.03045, 0.99173)","(0.00891, 0.06061, 0.01411, 0.99549)","(-0.00590, 0.03423, 0.01439, 0.99676)","(0.00736, -0.00524, -0.03161, 0.99693)",
"(-0.00584, 0.06343, -0.00506, 0.99542)","(-0.04937, 0.00591, -0.06985, 0.99377)","(-0.32814, 0.05528, -0.00984, 0.94296)","(-0.12188, 0.65208, -0.29189, 0.68395)","(0.29038, -0.76579, 0.30731, -0.47810)","(0.54890, -0.78195, -0.20512, -0.19771)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.01693, -0.62571, -0.32516, 0.70408)","(-0.40736, -0.83488, -0.10421, 0.34700)","(-0.44937, -0.75367, -0.42908, 0.19907)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.00780, 0.05525, -0.03468, 0.99530)","(0.00411, 0.10061, -0.04412, 0.99138)","(0.00365, 0.10248, -0.03051, 0.99171)","(0.00847, 0.05981, 0.01398, 0.99554)","(-0.00597, 0.03349, 0.01508, 0.99678)","(0.00709, -0.00531, -0.03181, 0.99692)",
"(-0.00496, 0.06351, -0.00460, 0.99542)","(-0.04871, 0.00574, -0.06978, 0.99381)","(-0.32892, 0.05588, -0.00901, 0.94266)","(-0.12047, 0.65146, -0.29265, 0.68447)","(0.28970, -0.76546, 0.30801, -0.47860)","(0.54884, -0.78180, -0.20627, -0.19727)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.01823, -0.62673, -0.32358, 0.70386)","(-0.40614, -0.83587, -0.10316, 0.34635)","(-0.44968, -0.75266, -0.42861, 0.20314)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.00893, 0.05655, -0.03339, 0.99526)","(0.00395, 0.10148, -0.04522, 0.99125)","(0.00327, 0.10273, -0.03064, 0.99168)","(0.00806, 0.05919, 0.01388, 0.99558)","(-0.00597, 0.03258, 0.01608, 0.99679)","(0.00661, -0.00546, -0.03213, 0.99692)",
"(-0.00211, 0.06334, -0.00468, 0.99544)","(-0.04707, 0.00460, -0.06935, 0.99393)","(-0.32882, 0.05379, -0.01045, 0.94280)","(-0.12092, 0.65140, -0.29203, 0.68472)","(0.28983, -0.76497, 0.30819, -0.47918)","(0.54867, -0.78172, -0.20678, -0.19750)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.01960, -0.62784, -0.32207, 0.70353)","(-0.40481, -0.83725, -0.10210, 0.34491)","(-0.44896, -0.75183, -0.42912, 0.20667)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01030, 0.05868, -0.03108, 0.99520)","(0.00435, 0.10363, -0.04723, 0.99093)","(0.00280, 0.10320, -0.03084, 0.99163)","(0.00745, 0.05837, 0.01408, 0.99563)","(-0.00588, 0.03068, 0.01786, 0.99682)","(0.00572, -0.00573, -0.03292, 0.99689)",
"(-0.00084, 0.06398, -0.00503, 0.99540)","(-0.04569, 0.00365, -0.06924, 0.99400)","(-0.33769, 0.06086, -0.01637, 0.93914)","(-0.12006, 0.65060, -0.29255, 0.68542)","(0.28941, -0.76402, 0.30914, -0.48033)","(0.54864, -0.78165, -0.20713, -0.19749)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02053, -0.62903, -0.32052, 0.70314)","(-0.40362, -0.83859, -0.10163, 0.34319)","(-0.44774, -0.75003, -0.43012, 0.21362)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01072, 0.05971, -0.03076, 0.99515)","(0.00457, 0.10517, -0.04809, 0.99072)","(0.00264, 0.10356, -0.03082, 0.99159)","(0.00705, 0.05836, 0.01418, 0.99563)","(-0.00589, 0.02983, 0.01867, 0.99683)","(0.00534, -0.00586, -0.03327, 0.99688)",
"(0.00098, 0.06425, -0.00531, 0.99538)","(-0.04384, 0.00271, -0.06946, 0.99407)","(-0.32796, 0.05670, -0.01179, 0.94291)","(-0.11838, 0.64952, -0.29353, 0.68631)","(0.28795, -0.76337, 0.31039, -0.48143)","(0.54871, -0.78125, -0.20802, -0.19793)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02215, -0.63099, -0.31808, 0.70245)","(-0.40226, -0.84001, -0.10086, 0.34155)","(-0.44662, -0.74792, -0.43053, 0.22232)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01131, 0.06079, -0.03013, 0.99509)","(0.00466, 0.10672, -0.04881, 0.99052)","(0.00249, 0.10388, -0.03084, 0.99155)","(0.00664, 0.05868, 0.01435, 0.99562)","(-0.00611, 0.02943, 0.01964, 0.99682)","(0.00500, -0.00597, -0.03353, 0.99688)",
"(0.00309, 0.06406, -0.00583, 0.99539)","(-0.04159, 0.00173, -0.06969, 0.99416)","(-0.32775, 0.05549, -0.01251, 0.94305)","(-0.11634, 0.64845, -0.29445, 0.68729)","(0.28700, -0.76284, 0.31096, -0.48246)","(0.54884, -0.78076, -0.20796, -0.19955)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02383, -0.63283, -0.31580, 0.70176)","(-0.40109, -0.84092, -0.10143, 0.34053)","(-0.44476, -0.74642, -0.43125, 0.22955)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01172, 0.06143, -0.02910, 0.99508)","(0.00474, 0.10768, -0.04923, 0.99040)","(0.00241, 0.10417, -0.03082, 0.99153)","(0.00623, 0.05841, 0.01457, 0.99563)","(-0.00643, 0.02911, 0.02041, 0.99682)","(0.00484, -0.00608, -0.03367, 0.99687)",
"(0.00516, 0.06396, -0.00640, 0.99538)","(-0.03886, 0.00054, -0.07003, 0.99425)","(-0.32640, 0.05532, -0.01201, 0.94354)","(-0.11417, 0.64750, -0.29492, 0.68835)","(0.28554, -0.76189, 0.31189, -0.48422)","(0.54911, -0.78030, -0.20752, -0.20107)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02433, -0.63402, -0.31460, 0.70121)","(-0.39966, -0.84155, -0.10256, 0.34031)","(-0.44259, -0.74515, -0.43232, 0.23576)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01187, 0.06123, -0.02910, 0.99509)","(0.00466, 0.10827, -0.04906, 0.99034)","(0.00237, 0.10449, -0.03073, 0.99149)","(0.00578, 0.05818, 0.01478, 0.99564)","(-0.00683, 0.02887, 0.02115, 0.99681)","(0.00480, -0.00619, -0.03372, 0.99687)",
