Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,LeftShoulder,RightUpperArm,RightForeArm,RightHand,RightShoulder,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(-0.01016, 0.03853, -0.00275, 0.99667)","(-0.01306, 0.08013, -0.04168, 0.99328)","(-0.28457, -0.05298, 0.02401, 0.95689)","(-0.06280, 0.62396, -0.14424, 0.76136)","(0.26758, -0.82714, 0.13557, -0.46909)","(0.46051, -0.76998, -0.32105, -0.29291)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04242, -0.42217, -0.34591, 0.83339)","(-0.15122, -0.85843, -0.26342, 0.40645)","(-0.37198, -0.71314, -0.45972, 0.36751)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00224, -0.17394, -0.04324, 0.98121)","(0.01457, -0.03185, -0.02534, 0.99653)","(-0.00204, -0.04578, -0.01572, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01261, -0.01128, 0.02132, 0.99710)","(0.00159, -0.07823, -0.00322, 0.99439)",
"(-0.01036, 0.03863, -0.00274, 0.99666)","(-0.01294, 0.08043, -0.04177, 0.99325)","(-0.28434, -0.05321, 0.02234, 0.95699)","(-0.06222, 0.62368, -0.14433, 0.76162)","(0.26735, -0.82705, 0.13562, -0.46938)","(0.46046, -0.76995, -0.32111, -0.29301)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04244, -0.42222, -0.34613, 0.83328)","(-0.15100, -0.85847, -0.26368, 0.40629)","(-0.37199, -0.71302, -0.45994, 0.36746)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00229, -0.17436, -0.04330, 0.98113)","(0.01456, -0.03208, -0.02536, 0.99653)","(-0.00204, -0.04578, -0.01571, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01274, -0.01125, 0.02122, 0.99710)","(0.00159, -0.07823, -0.00320, 0.99439)",
"(-0.01052, 0.03875, -0.00275, 0.99666)","(-0.01284, 0.08070, -0.04179, 0.99323)","(-0.28713, -0.05246, 0.02323, 0.95617)","(-0.06197, 0.62348, -0.14428, 0.76181)","(0.26700, -0.82705, 0.13577, -0.46951)","(0.46031, -0.76997, -0.32118, -0.29311)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04268, -0.42232, -0.34619, 0.83318)","(-0.15060, -0.85857, -0.26381, 0.40614)","(-0.37184, -0.71297, -0.46016, 0.36744)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00224, -0.17470, -0.04330, 0.98107)","(0.01459, -0.03214, -0.02533, 0.99652)","(-0.00204, -0.04578, -0.01571, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01282, -0.01125, 0.02126, 0.99710)","(0.00158, -0.07823, -0.00319, 0.99439)",
"(-0.01067, 0.03898, -0.00275, 0.99665)","(-0.01278, 0.08087, -0.04185, 0.99322)","(-0.28655, -0.05242, 0.02325, 0.95635)","(-0.06191, 0.62341, -0.14415, 0.76191)","(0.26709, -0.82702, 0.13531, -0.46965)","(0.46022, -0.76991, -0.32129, -0.29328)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04298, -0.42243, -0.34625, 0.83309)","(-0.15055, -0.85859, -0.26405, 0.40596)","(-0.37168, -0.71291, -0.46046, 0.36733)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00231, -0.17476, -0.04328, 0.98106)","(0.01468, -0.03213, -0.02526, 0.99652)","(-0.00204, -0.04578, -0.01570, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01287, -0.01127, 0.02127, 0.99710)","(0.00158, -0.07823, -0.00318, 0.99439)",
"(-0.01083, 0.03925, -0.00277, 0.99664)","(-0.01269, 0.08117, -0.04192, 0.99319)","(-0.28657, -0.05220, 0.02319, 0.95635)","(-0.06191, 0.62322, -0.14417, 0.76206)","(0.26697, -0.82689, 0.13542, -0.46993)","(0.46021, -0.76980, -0.32137, -0.29351)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04305, -0.42248, -0.34633, 0.83303)","(-0.15038, -0.85870, -0.26389, 0.40588)","(-0.37156, -0.71292, -0.46064, 0.36721)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00241, -0.17475, -0.04320, 0.98106)","(0.01461, -0.03217, -0.02531, 0.99652)","(-0.00204, -0.04578, -0.01570, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01281, -0.01127, 0.02130, 0.99710)","(0.00158, -0.07823, -0.00317, 0.99439)",
"(-0.01103, 0.03959, -0.00271, 0.99662)","(-0.01259, 0.08163, -0.04196, 0.99315)","(-0.28234, -0.05449, 0.02333, 0.95748)","(-0.06158, 0.62300, -0.14425, 0.76225)","(0.26665, -0.82684, 0.13551, -0.47016)","(0.46030, -0.76961, -0.32150, -0.29371)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04314, -0.42236, -0.34646, 0.83303)","(-0.15027, -0.85870, -0.26395, 0.40590)","(-0.37114, -0.71303, -0.46073, 0.36729)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00234, -0.17501, -0.04325, 0.98101)","(0.01449, -0.03215, -0.02538, 0.99652)","(-0.00195, -0.04577, -0.01569, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01265, -0.01121, 0.02136, 0.99710)","(0.00157, -0.07823, -0.00315, 0.99439)",
"(-0.01126, 0.03976, -0.00272, 0.99661)","(-0.01249, 0.08193, -0.04201, 0.99313)","(-0.28547, -0.05314, 0.02486, 0.95659)","(-0.06151, 0.62290, -0.14428, 0.76233)","(0.26656, -0.82681, 0.13534, -0.47031)","(0.46030, -0.76956, -0.32159, -0.29375)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04305, -0.42223, -0.34642, 0.83312)","(-0.15013, -0.85869, -0.26387, 0.40601)","(-0.37110, -0.71304, -0.46071, 0.36734)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00232, -0.17505, -0.04319, 0.98101)","(0.01452, -0.03217, -0.02532, 0.99652)","(-0.00193, -0.04577, -0.01569, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01268, -0.01115, 0.02136, 0.99710)","(0.00157, -0.07823, -0.00314, 0.99439)",
"(-0.01155, 0.03998, -0.00270, 0.99660)","(-0.01235, 0.08222, -0.04200, 0.99311)","(-0.28330, -0.05458, 0.02364, 0.95719)","(-0.06154, 0.62283, -0.14425, 0.76239)","(0.26650, -0.82682, 0.13537, -0.47033)","(0.46028, -0.76949, -0.32173, -0.29380)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04322, -0.42217, -0.34635, 0.83317)","(-0.14993, -0.85868, -0.26385, 0.40612)","(-0.37097, -0.71307, -0.46074, 0.36739)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00231, -0.17510, -0.04315, 0.98100)","(0.01453, -0.03223, -0.02532, 0.99652)","(-0.00188, -0.04583, -0.01572, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01267, -0.01110, 0.02135, 0.99710)","(0.00156, -0.07823, -0.00313, 0.99439)",
"(-0.01177, 0.04022, -0.00269, 0.99659)","(-0.01225, 0.08250, -0.04195, 0.99309)","(-0.28735, -0.05328, 0.02205, 0.95609)","(-0.06136, 0.62277, -0.14424, 0.76245)","(0.26662, -0.82682, 0.13518, -0.47031)","(0.46034, -0.76949, -0.32181, -0.29362)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04342, -0.42209, -0.34627, 0.83323)","(-0.14989, -0.85872, -0.26375, 0.40613)","(-0.37090, -0.71311, -0.46064, 0.36751)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00227, -0.17526, -0.04317, 0.98097)","(0.01449, -0.03222, -0.02533, 0.99652)","(-0.00187, -0.04588, -0.01574, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01260, -0.01098, 0.02136, 0.99710)","(0.00156, -0.07823, -0.00311, 0.99439)",
"(-0.01185, 0.04040, -0.00265, 0.99658)","(-0.01215, 0.08279, -0.04195, 0.99306)","(-0.28735, -0.05328, 0.02205, 0.95609)","(-0.06123, 0.62270, -0.14422, 0.76253)","(0.26670, -0.82676, 0.13513, -0.47038)","(0.46037, -0.76951, -0.32186, -0.29348)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.04361, -0.42202, -0.34620, 0.83328)","(-0.14977, -0.85873, -0.26364, 0.40622)","(-0.37078, -0.71317, -0.46059, 0.36758)","(0.00000, -0.04039, 0.00000, 0.99918)","(0.00225, -0.17540, -0.04317, 0.98095)","(0.01447, -0.03221, -0.02533, 0.99652)","(-0.00187, -0.04590, -0.01575, 0.99629)","(-0.00009, -0.04021, -0.00006, 0.99666)","(0.01257, -0.01096, 0.02138, 0.99710)","(0.00155, -0.07823, -0.00310, 0.99439)",
