Hips,Spine1,Head,LeftArm,LeftForeArm,LeftHand,RightArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandThumb1,LeftHandThumb2,LeftHandThumb3,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandPinky1,RightHandPinky2,RightHandPinky3,RightHandRing1,RightHandRing2,RightHandRing3,RightHandThumb1,RightHandThumb2,RightHandThumb3
"(359.97, 3.57, 0.00)","(1.70, 1.73, 0.38)","(353.26, 3.22, 0.00)","(89.76, 171.51, 258.18)","(89.94, 273.37, 0.00)","(89.73, 120.13, 206.60)","(89.89, 93.51, 0.00)","(89.72, 206.03, 112.72)","(89.76, 143.55, 50.00)","(0.96, 3.54, 179.80)","(2.98, 3.57, 180.56)","(297.42, 8.93, 173.92)","(0.84, 3.54, 180.40)","(2.94, 3.52, 179.76)","(297.48, 358.05, 186.44)","(71.48, 93.90, 180.39)","(53.20, 93.70, 180.20)","(34.92, 93.62, 180.15)","(89.73, 120.13, 206.60)","(89.73, 120.13, 206.60)","(89.73, 120.13, 206.60)","(353.26, 93.52, 180.12)","(283.23, 274.05, 359.46)","(19.72, 273.49, 359.87)","(71.68, 93.90, 180.39)","(53.61, 93.70, 180.21)","(35.54, 93.62, 180.15)","(58.80, 139.20, 195.80)","(48.15, 118.37, 188.17)","(44.84, 102.06, 203.87)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(89.76, 143.55, 50.00)","(350.15, 273.58, 179.81)","(289.85, 93.04, 0.54)","(29.85, 93.65, 0.21)","(53.59, 220.42, 160.94)","(35.47, 249.69, 158.67)","(33.92, 273.72, 126.22)",
"(359.97, 3.59, 359.99)","(357.24, 4.00, 0.12)","(353.30, 3.21, 359.99)","(89.72, 172.85, 259.54)","(89.94, 273.30, 0.00)","(89.65, 125.21, 211.68)","(89.81, 197.77, 104.39)","(89.66, 202.03, 108.73)","(89.71, 139.82, 46.33)","(0.98, 3.55, 179.80)","(2.98, 3.57, 180.56)","(297.44, 8.95, 173.90)","(0.84, 3.55, 180.40)","(2.92, 3.53, 179.76)","(297.48, 358.05, 186.44)","(71.42, 94.08, 180.58)","(53.14, 93.78, 180.31)","(34.86, 93.66, 180.22)","(89.65, 125.21, 211.68)","(89.65, 125.21, 211.68)","(89.65, 125.21, 211.68)","(353.21, 93.51, 180.19)","(283.28, 274.31, 359.20)","(19.77, 273.47, 359.80)","(71.63, 94.09, 180.58)","(53.56, 93.78, 180.31)","(35.49, 93.66, 180.23)","(58.71, 139.21, 195.81)","(48.08, 118.41, 188.22)","(44.78, 102.11, 203.94)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(89.71, 139.82, 46.33)","(350.20, 273.53, 179.79)","(289.80, 92.91, 0.62)","(29.80, 93.61, 0.24)","(53.59, 220.30, 160.86)","(35.50, 249.61, 158.62)","(33.97, 273.65, 126.19)",
"(359.97, 3.58, 0.00)","(357.26, 4.08, 359.99)","(353.34, 3.20, 0.00)","(89.67, 171.29, 257.99)","(89.93, 273.28, 0.00)","(89.67, 106.91, 193.39)","(89.80, 196.08, 102.69)","(89.65, 202.08, 108.79)","(89.69, 136.17, 42.66)","(0.98, 3.54, 179.80)","(3.03, 3.58, 180.51)","(297.43, 8.99, 173.85)","(0.85, 3.54, 180.39)","(2.93, 3.52, 179.75)","(297.48, 358.05, 186.44)","(71.40, 93.75, 180.24)","(53.12, 93.63, 180.13)","(34.84, 93.58, 180.09)","(89.67, 106.91, 193.39)","(89.67, 106.91, 193.39)","(89.67, 106.91, 193.39)","(353.19, 93.51, 180.08)","(283.30, 273.85, 359.67)","(19.79, 273.50, 359.92)","(71.61, 93.75, 180.24)","(53.53, 93.63, 180.13)","(35.46, 93.58, 180.09)","(58.77, 139.05, 195.64)","(48.10, 118.28, 188.06)","(44.77, 101.99, 203.79)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(89.69, 136.17, 42.66)","(350.23, 273.55, 179.79)","(289.77, 92.93, 0.62)","(29.77, 93.64, 0.24)","(53.61, 220.29, 160.82)","(35.52, 249.62, 158.61)","(34.00, 273.67, 126.19)",
"(359.98, 3.60, 359.98)","(357.34, 4.07, 0.03)","(353.34, 3.21, 359.99)","(89.68, 169.66, 256.34)","(89.94, 273.30, 0.00)","(89.69, 111.45, 197.89)","(89.78, 197.41, 104.02)","(89.65, 204.53, 111.23)","(89.73, 143.05, 49.52)","(0.98, 3.55, 179.78)","(3.03, 3.59, 180.50)","(297.42, 9.01, 173.83)","(0.84, 3.55, 180.37)","(2.92, 3.53, 179.72)","(297.48, 358.05, 186.44)","(71.42, 93.84, 180.30)","(53.14, 93.68, 180.16)","(34.86, 93.62, 180.12)","(89.69, 111.45, 197.89)","(89.69, 111.45, 197.89)","(89.69, 111.45, 197.89)","(353.21, 93.55, 180.10)","(283.28, 273.96, 359.58)","(19.77, 273.52, 359.90)","(71.63, 93.85, 180.30)","(53.56, 93.69, 180.16)","(35.49, 93.62, 180.12)","(58.78, 139.14, 195.70)","(48.12, 118.34, 188.10)","(44.79, 102.05, 203.82)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(89.73, 143.05, 49.52)","(350.18, 273.56, 179.79)","(289.83, 92.96, 0.61)","(29.82, 93.65, 0.24)","(53.58, 220.36, 160.89)","(35.48, 249.65, 158.64)","(33.95, 273.68, 126.19)",
"(359.96, 3.62, 359.96)","(357.39, 3.94, 359.72)","(353.32, 3.23, 359.97)","(89.71, 172.04, 258.70)","(89.94, 273.35, 0.00)","(89.79, 92.73, 179.15)","(89.81, 203.04, 109.63)","(89.68, 206.76, 113.44)","(89.73, 139.65, 46.09)","(0.97, 3.58, 179.77)","(3.04, 3.62, 180.48)","(297.45, 9.05, 173.82)","(0.84, 3.59, 180.36)","(2.91, 3.56, 179.71)","(297.48, 358.05, 186.44)","(71.51, 93.57, 179.99)","(53.23, 93.57, 179.99)","(34.95, 93.58, 180.00)","(89.79, 92.73, 179.15)","(89.79, 92.73, 179.15)","(89.79, 92.73, 179.15)","(353.30, 93.58, 180.00)","(283.19, 273.56, 0.01)","(19.68, 273.58, 0.00)","(71.72, 93.57, 179.99)","(53.65, 93.57, 179.99)","(35.57, 93.58, 180.00)","(58.91, 139.15, 195.68)","(48.24, 118.30, 188.03)","(44.90, 101.98, 203.70)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(89.73, 139.65, 46.09)","(350.19, 273.59, 179.80)","(289.81, 93.01, 0.59)","(29.81, 93.67, 0.23)","(53.60, 220.38, 160.88)","(35.49, 249.69, 158.64)","(33.96, 273.72, 126.20)",
"(359.97, 3.64, 359.93)","(357.20, 4.07, 359.93)","(353.20, 3.28, 359.95)","(89.80, 181.66, 268.28)","(89.86, 318.96, 45.54)","(89.80, 51.22, 137.58)","(89.88, 218.82, 125.36)","(89.74, 211.81, 118.43)","(89.79, 121.34, 27.72)","(0.97, 3.62, 179.77)","(3.07, 3.65, 180.48)","(297.47, 9.09, 173.79)","(0.82, 3.62, 180.35)","(2.92, 3.59, 179.71)","(297.48, 358.05, 186.44)","(71.57, 93.23, 179.57)","(53.29, 93.46, 179.77)","(35.01, 93.54, 179.83)","(89.80, 51.22, 137.58)","(89.80, 51.22, 137.58)","(89.80, 51.22, 137.58)","(353.36, 93.66, 179.86)","(283.13, 273.05, 0.60)","(19.62, 273.69, 0.15)","(71.78, 93.22, 179.56)","(53.71, 93.45, 179.77)","(35.63, 93.54, 179.83)","(59.05, 139.12, 195.58)","(48.35, 118.26, 187.88)","(44.97, 101.92, 203.53)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(89.79, 121.34, 27.72)","(350.19, 273.64, 179.90)","(289.81, 93.35, 0.29)","(29.81, 93.68, 0.11)","(53.67, 220.53, 160.99)","(35.53, 249.82, 158.76)","(33.95, 273.85, 126.32)",
"(359.98, 3.64, 359.92)","(357.24, 3.92, 359.90)","(353.20, 3.29, 359.94)","(89.85, 186.63, 273.24)","(89.82, 328.31, 54.89)","(89.82, 76.25, 162.57)","(89.91, 93.53, 0.00)","(89.79, 219.50, 126.12)","(89.84, 92.07, 358.44)","(0.98, 3.62, 179.76)","(3.07, 3.65, 180.47)","(297.47, 9.10, 173.78)","(0.81, 3.62, 180.34)","(2.91, 3.60, 179.70)","(297.48, 358.05, 186.44)","(71.54, 93.51, 179.83)","(53.26, 93.61, 179.91)","(34.98, 93.64, 179.93)","(89.82, 76.25, 162.57)","(89.82, 76.25, 162.57)","(89.82, 76.25, 162.57)","(353.33, 93.69, 179.94)","(283.16, 273.44, 0.24)","(19.65, 273.70, 0.06)","(71.75, 93.51, 179.82)","(53.68, 93.60, 179.91)","(35.61, 93.64, 179.93)","(58.97, 139.23, 195.66)","(48.29, 118.37, 187.97)","(44.94, 102.04, 203.63)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(89.84, 92.07, 358.44)","(350.16, 273.63, 180.00)","(289.84, 93.64, 359.99)","(29.84, 93.63, -0.01)","(53.74, 220.65, 161.12)","(35.55, 249.90, 158.88)","(33.93, 273.93, 126.45)",
"(359.99, 3.64, 359.92)","(357.24, 3.91, 359.90)","(353.20, 3.29, 359.94)","(89.84, 184.54, 271.15)","(89.85, 325.93, 52.50)","(89.82, 100.37, 186.69)","(89.91, 93.49, 0.00)","(89.81, 224.24, 130.87)","(89.86, 98.46, 4.85)","(0.98, 3.62, 179.76)","(3.07, 3.65, 180.47)","(297.47, 9.10, 173.78)","(0.81, 3.63, 180.34)","(2.90, 3.60, 179.70)","(297.48, 358.05, 186.44)","(71.54, 93.74, 180.07)","(53.26, 93.71, 180.04)","(34.98, 93.69, 180.03)","(89.82, 100.37, 186.69)","(89.82, 100.37, 186.69)","(89.82, 100.37, 186.69)","(353.33, 93.68, 180.02)","(283.16, 273.77, 359.91)","(19.65, 273.67, 359.98)","(71.75, 93.74, 180.07)","(53.67, 93.71, 180.04)","(35.60, 93.69, 180.03)","(58.91, 139.31, 195.76)","(48.26, 118.44, 188.08)","(44.92, 102.11, 203.74)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(89.86, 98.46, 4.85)","(350.14, 273.61, 179.99)","(289.86, 93.58, 0.03)","(29.86, 93.62, 0.01)","(53.71, 220.64, 161.14)","(35.52, 249.87, 158.88)","(33.91, 273.89, 126.43)",
"(359.99, 3.62, 359.92)","(357.25, 3.91, 359.90)","(353.16, 3.28, 359.93)","(89.80, 182.29, 268.92)","(89.88, 273.49, 0.00)","(89.85, 114.27, 200.61)","(89.91, 93.50, 0.00)","(89.76, 219.02, 125.67)","(89.86, 109.97, 16.36)","(0.98, 3.60, 179.76)","(3.07, 3.64, 180.47)","(297.47, 9.08, 173.79)","(0.81, 3.61, 180.34)","(2.91, 3.58, 179.70)","(297.48, 358.05, 186.44)","(71.58, 93.82, 180.17)","(53.30, 93.73, 180.09)","(35.02, 93.70, 180.07)","(89.85, 114.27, 200.61)","(89.85, 114.27, 200.61)","(89.85, 114.27, 200.61)","(353.37, 93.65, 180.05)","(283.12, 273.89, 359.76)","(19.62, 273.64, 359.94)","(71.79, 93.82, 180.17)","(53.71, 93.73, 180.09)","(35.64, 93.70, 180.07)","(58.92, 139.37, 195.85)","(48.28, 118.47, 188.14)","(44.95, 102.13, 203.79)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(89.86, 109.97, 16.36)","(350.14, 273.62, 179.96)","(289.86, 93.50, 0.12)","(29.86, 93.63, 0.05)","(53.69, 220.62, 161.11)","(35.51, 249.86, 158.84)","(33.91, 273.88, 126.39)",
"(0.02, 3.61, 359.94)","(357.25, 3.83, 359.72)","(353.26, 3.23, 359.94)","(89.73, 183.70, 270.37)","(89.88, 277.60, 4.24)","(89.85, 132.86, 219.22)","(89.82, 215.52, 122.12)","(89.66, 214.02, 120.70)","(89.80, 154.67, 61.11)","(0.99, 3.58, 179.77)","(3.07, 3.61, 180.48)","(297.45, 9.05, 173.80)","(0.82, 3.58, 180.35)","(2.91, 3.55, 179.71)","(297.48, 358.05, 186.44)","(71.60, 93.93, 180.31)","(53.32, 93.76, 180.16)","(35.04, 93.70, 180.12)","(89.85, 132.86, 219.22)","(89.85, 132.86, 219.22)","(89.85, 132.86, 219.22)","(353.39, 93.62, 180.10)","(283.10, 274.05, 359.57)","(19.59, 273.60, 359.90)","(71.81, 93.93, 180.31)","(53.74, 93.77, 180.16)","(35.66, 93.70, 180.12)","(58.90, 139.42, 195.94)","(48.28, 118.50, 188.22)","(44.97, 102.15, 203.86)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(89.80, 154.67, 61.11)","(350.10, 273.59, 179.82)","(289.90, 93.08, 0.52)","(29.90, 93.67, 0.20)","(53.56, 220.50, 161.03)","(35.42, 249.73, 158.71)","(33.87, 273.74, 126.23)",
