Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,RightUpperArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(0.03, 359.98, 359.99)","(0.01, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.97, 269.95, 0.00)","(89.89, 270.04, 0.00)","(89.87, 138.84, 228.87)","(85.00, 193.89, 105.93)","(85.85, 167.00, 81.98)","(89.92, 89.91, 0.00)","(0.59, 359.97, 179.71)","(2.72, 359.98, 180.43)","(297.50, 5.33, 173.95)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.54, 354.32, 186.37)",
"(0.03, 359.98, 359.99)","(0.00, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.97, 269.95, 0.00)","(89.89, 270.04, 0.00)","(89.87, 139.01, 229.04)","(85.01, 193.90, 105.94)","(85.85, 166.99, 81.99)","(89.91, 89.91, 0.00)","(0.59, 359.97, 179.71)","(2.72, 359.98, 180.43)","(297.50, 5.34, 173.95)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.37)",
"(0.02, 359.98, 359.99)","(0.00, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.96, 269.96, 0.00)","(89.88, 310.31, 40.34)","(89.88, 140.71, 230.74)","(85.00, 193.95, 106.00)","(85.86, 167.03, 82.02)","(89.91, 89.90, 0.00)","(0.58, 359.98, 179.71)","(2.72, 359.98, 180.43)","(297.50, 5.34, 173.95)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.37)",
"(0.02, 359.98, 359.98)","(0.00, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.96, 269.97, 0.00)","(89.88, 310.54, 40.56)","(89.88, 141.26, 231.29)","(85.00, 193.97, 106.02)","(85.86, 167.03, 82.04)","(89.90, 89.90, 0.00)","(0.58, 359.98, 179.71)","(2.72, 359.98, 180.43)","(297.50, 5.34, 173.95)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.37)",
"(0.02, 359.98, 359.98)","(0.00, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.96, 269.97, 0.00)","(89.88, 310.90, 40.92)","(89.88, 141.57, 231.60)","(85.00, 194.01, 106.06)","(85.86, 167.01, 82.02)","(89.91, 89.90, 0.00)","(0.58, 359.98, 179.71)","(2.72, 359.98, 180.43)","(297.50, 5.34, 173.95)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.36)",
"(0.02, 359.98, 359.98)","(0.00, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.96, 269.97, 0.00)","(89.88, 311.07, 41.09)","(89.88, 141.40, 231.43)","(85.01, 194.01, 106.06)","(85.86, 166.98, 82.01)","(89.90, 89.90, 0.00)","(0.58, 359.98, 179.71)","(2.72, 359.98, 180.43)","(297.50, 5.33, 173.95)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.36)",
"(0.02, 359.98, 359.98)","(0.00, 359.96, 0.08)","(353.06, 359.95, 0.08)","(89.95, 269.97, 0.00)","(89.88, 310.64, 40.66)","(89.88, 141.17, 231.20)","(85.01, 193.98, 106.04)","(85.86, 167.00, 82.04)","(89.91, 89.90, 0.00)","(0.58, 359.98, 179.71)","(2.72, 359.98, 180.44)","(297.51, 5.32, 173.96)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.36)",
"(0.02, 359.98, 359.99)","(0.01, 359.96, 0.08)","(353.06, 359.95, 0.09)","(89.95, 269.97, 0.00)","(89.88, 310.32, 40.34)","(89.87, 141.11, 231.13)","(85.00, 193.97, 106.03)","(85.86, 167.01, 82.06)","(89.91, 89.90, 0.00)","(0.59, 359.98, 179.71)","(2.72, 359.98, 180.44)","(297.51, 5.32, 173.97)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.53, 354.33, 186.36)",
"(0.02, 359.98, 359.99)","(0.01, 359.96, 0.09)","(353.07, 359.95, 0.09)","(89.96, 269.97, 0.00)","(89.88, 270.06, 0.00)","(89.88, 140.06, 230.08)","(85.00, 193.96, 106.03)","(85.86, 166.97, 82.03)","(89.91, 89.90, 0.00)","(0.59, 359.98, 179.71)","(2.72, 359.98, 180.44)","(297.51, 5.32, 173.97)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.54, 354.33, 186.36)",
"(0.02, 359.98, 359.99)","(0.01, 359.96, 0.09)","(353.07, 359.95, 0.09)","(89.97, 269.96, 0.00)","(89.89, 270.05, 0.00)","(89.87, 139.16, 229.19)","(84.99, 193.90, 105.97)","(85.85, 166.94, 82.02)","(89.91, 89.90, 0.00)","(0.59, 359.97, 179.72)","(2.72, 359.98, 180.45)","(297.52, 5.30, 173.98)","(0.73, 359.97, 180.43)","(2.74, 359.95, 179.65)","(297.54, 354.33, 186.36)",
"(0.03, 359.98, 359.99)","(0.01, 359.96, 0.09)","(353.07, 359.95, 0.10)","(89.95, 269.96, 0.00)","(89.89, 270.05, 0.00)","(89.87, 138.37, 228.40)","(84.99, 193.85, 105.93)","(85.85, 166.89, 81.98)","(89.92, 89.90, 0.00)","(0.59, 359.97, 179.72)","(2.73, 359.98, 180.45)","(297.52, 5.30, 173.99)","(0.73, 359.97, 180.44)","(2.74, 359.95, 179.65)","(297.54, 354.33, 186.37)",
"(0.03, 359.98, 0.00)","(0.02, 359.96, 0.10)","(353.08, 359.95, 0.10)","(89.95, 269.96, 0.00)","(89.90, 270.05, 0.00)","(89.87, 137.44, 227.47)","(84.99, 193.81, 105.90)","(85.85, 166.88, 81.98)","(89.92, 89.91, 0.00)","(0.60, 359.97, 179.72)","(2.73, 359.97, 180.46)","(297.52, 5.30, 173.98)","(0.74, 359.96, 180.44)","(2.72, 359.80, 179.09)","(297.54, 354.33, 186.37)",
"(0.03, 359.98, 0.00)","(0.03, 359.95, 0.10)","(353.09, 359.94, 0.10)","(89.97, 269.96, 0.00)","(89.90, 270.04, 0.00)","(89.86, 136.21, 226.24)","(84.98, 193.79, 105.88)","(85.84, 166.86, 81.97)","(89.93, 89.90, 0.00)","(0.60, 359.97, 179.73)","(2.73, 359.97, 180.46)","(297.52, 5.30, 173.98)","(0.74, 359.96, 180.44)","(2.72, 359.80, 179.09)","(297.55, 354.32, 186.37)",
"(0.03, 359.97, 0.00)","(0.03, 359.95, 0.11)","(353.09, 359.94, 0.11)","(89.96, 269.95, 0.00)","(89.90, 270.04, 0.00)","(89.86, 135.91, 225.94)","(84.98, 193.75, 105.85)","(85.84, 166.86, 81.97)","(89.93, 89.90, 0.00)","(0.60, 359.97, 179.73)","(2.73, 359.97, 180.46)","(297.53, 5.29, 173.99)","(0.74, 359.96, 180.44)","(2.72, 359.80, 179.09)","(297.55, 354.32, 186.37)",
"(0.04, 359.97, 0.01)","(0.04, 359.95, 0.11)","(353.10, 359.93, 0.11)","(89.96, 269.94, 0.00)","(89.91, 270.03, 0.00)","(89.85, 134.54, 224.58)","(84.98, 193.69, 105.79)","(85.84, 166.84, 81.97)","(89.93, 89.91, 0.00)","(0.60, 359.96, 179.73)","(2.73, 359.97, 180.47)","(297.53, 5.27, 174.01)","(0.75, 359.96, 180.45)","(2.73, 359.79, 179.13)","(297.55, 354.31, 186.38)",
"(0.04, 359.97, 0.01)","(0.04, 359.94, 0.12)","(353.10, 359.93, 0.12)","(90.00, 269.94, 0.00)","(89.91, 270.03, 0.00)","(89.85, 133.62, 223.66)","(84.97, 193.68, 105.78)","(85.84, 166.82, 81.95)","(89.94, 89.91, 0.00)","(0.61, 359.96, 179.74)","(2.73, 359.96, 180.47)","(297.53, 5.26, 174.01)","(0.75, 359.95, 180.45)","(2.73, 359.79, 179.14)","(297.55, 354.31, 186.38)",
"(0.04, 359.97, 0.01)","(0.04, 359.94, 0.12)","(353.10, 359.93, 0.12)","(89.97, 269.94, 0.00)","(89.92, 270.03, 0.00)","(89.84, 132.78, 222.82)","(84.97, 193.64, 105.76)","(85.83, 166.80, 81.95)","(89.95, 89.91, 0.00)","(0.61, 359.96, 179.74)","(2.74, 359.96, 180.47)","(297.53, 5.26, 174.02)","(0.75, 359.95, 180.45)","(2.73, 359.79, 179.15)","(297.55, 354.31, 186.38)",
"(0.04, 359.97, 0.01)","(0.05, 359.94, 0.12)","(353.10, 359.93, 0.12)","(89.96, 269.93, 0.00)","(89.92, 270.02, 0.00)","(89.84, 131.98, 222.01)","(84.97, 193.64, 105.75)","(85.83, 166.79, 81.95)","(89.96, 89.91, 0.00)","(0.61, 359.96, 179.74)","(2.74, 359.96, 180.48)","(297.53, 5.25, 174.02)","(0.75, 359.95, 180.45)","(2.73, 359.79, 179.15)","(297.55, 354.30, 186.38)",
"(0.04, 359.96, 0.01)","(0.05, 359.94, 0.12)","(353.11, 359.92, 0.12)","(89.97, 269.93, 0.00)","(89.93, 270.02, 0.00)","(89.84, 131.01, 221.05)","(84.96, 193.61, 105.73)","(85.82, 166.77, 81.94)","(89.97, 89.92, 0.00)","(0.61, 359.96, 179.74)","(2.74, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.76, 359.95, 180.45)","(2.73, 359.79, 179.17)","(297.55, 354.30, 186.38)",
"(0.04, 359.97, 0.02)","(0.05, 359.94, 0.12)","(353.11, 359.93, 0.13)","(90.00, 269.93, 0.00)","(89.92, 270.02, 0.00)","(89.84, 130.63, 220.67)","(84.96, 193.59, 105.71)","(85.82, 166.76, 81.93)","(89.96, 89.92, 0.00)","(0.61, 359.96, 179.74)","(2.74, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.76, 359.95, 180.45)","(2.73, 359.79, 179.18)","(297.55, 354.30, 186.38)",
"(0.04, 359.97, 0.02)","(0.05, 359.94, 0.13)","(353.11, 359.92, 0.13)","(89.97, 269.93, 0.00)","(89.92, 270.02, 0.00)","(89.84, 130.22, 220.25)","(84.96, 193.59, 105.72)","(85.82, 166.77, 81.95)","(89.97, 89.92, 0.00)","(0.61, 359.96, 179.74)","(2.74, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.76, 359.95, 180.45)","(2.73, 359.79, 179.19)","(297.55, 354.30, 186.38)",
"(0.04, 359.97, 0.02)","(0.05, 359.94, 0.13)","(353.11, 359.93, 0.13)","(89.97, 269.93, 0.00)","(89.92, 270.02, 0.00)","(89.84, 129.89, 219.93)","(84.96, 193.60, 105.73)","(85.83, 166.76, 81.95)","(89.97, 89.92, 0.00)","(0.61, 359.96, 179.74)","(2.74, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.75, 359.95, 180.45)","(2.73, 359.79, 179.20)","(297.55, 354.31, 186.38)",
"(0.04, 359.97, 0.01)","(0.05, 359.94, 0.13)","(353.11, 359.93, 0.13)","(89.97, 269.94, 0.00)","(89.92, 270.02, 0.00)","(89.85, 130.29, 220.32)","(84.96, 193.61, 105.74)","(85.83, 166.73, 81.93)","(89.97, 89.93, 0.00)","(0.61, 359.96, 179.74)","(2.73, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.75, 359.95, 180.45)","(2.73, 359.79, 179.20)","(297.55, 354.31, 186.38)",
"(0.04, 359.97, 0.01)","(0.05, 359.94, 0.13)","(353.11, 359.93, 0.13)","(89.97, 269.94, 0.00)","(89.91, 270.03, 0.00)","(89.85, 129.85, 219.88)","(84.97, 193.61, 105.74)","(85.83, 166.72, 81.93)","(89.97, 89.92, 0.00)","(0.60, 359.96, 179.74)","(2.73, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.75, 359.96, 180.45)","(2.73, 359.79, 179.21)","(297.55, 354.32, 186.37)",
"(0.04, 359.97, 0.01)","(0.05, 359.95, 0.12)","(353.11, 359.93, 0.13)","(89.98, 269.94, 0.00)","(89.91, 270.04, 0.00)","(89.85, 130.22, 220.25)","(84.97, 193.65, 105.78)","(85.83, 166.73, 81.94)","(89.95, 89.92, 0.00)","(0.60, 359.96, 179.74)","(2.73, 359.96, 180.47)","(297.53, 5.25, 174.02)","(0.75, 359.96, 180.45)","(2.73, 359.79, 179.21)","(297.55, 354.32, 186.37)",
"(0.04, 359.98, 0.01)","(0.05, 359.95, 0.12)","(353.10, 359.93, 0.12)","(89.97, 269.95, 0.00)","(89.91, 270.04, 0.00)","(89.85, 130.50, 220.52)","(84.97, 193.70, 105.83)","(85.84, 166.76, 81.97)","(89.96, 89.92, 0.00)","(0.60, 359.96, 179.73)","(2.73, 359.96, 180.47)","(297.52, 5.26, 174.02)","(0.75, 359.96, 180.44)","(2.73, 359.79, 179.22)","(297.55, 354.33, 186.36)",
